X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0,0,0
100,250150,5.10505e+06,1.04783e+06,102.628,639391,2.55603,7.44955e+29,0.03468,9.79437e-05,4.09111e-13,5.34173e-66,9.85188e+15,1.75356e+16,1.71273e+11,2.73877e+16,3.07884e+06,3.43503e+09
50258.5,250150,5.10505e+06,1.3302e+20,1.30285e+16,3.20715e+10,2.55603,7.44953e+29,0.03468,9.79435e-05,4.09108e-13,5.34165e-66,9.85187e+15,1.75356e+16,1.71273e+11,2.73876e+16,7.77687e+11,3.43502e+09
100431,250149,5.10504e+06,1.06144e+21,1.03961e+17,6.41516e+10,2.55604,7.44946e+29,0.03468,9.79429e-05,4.09099e-13,5.3414e-66,9.85184e+15,1.75356e+16,1.71273e+11,2.73876e+16,3.10542e+12,3.43502e+09
151090,250149,5.10504e+06,3.61407e+21,3.53972e+17,9.65425e+10,2.55605,7.44934e+29,0.03468,9.7942e-05,4.09085e-13,5.34098e-66,9.85179e+15,1.75355e+16,1.71272e+11,2.73874e+16,7.02829e+12,3.43501e+09
201693,250147,5.10502e+06,8.5973e+21,8.42035e+17,1.28898e+11,2.55606,7.44917e+29,0.03468,9.79406e-05,4.09064e-13,5.3404e-66,9.85171e+15,1.75353e+16,1.7127e+11,2.73872e+16,1.25243e+13,3.43499e+09
252364,250146,5.10501e+06,1.6841e+22,1.64943e+18,1.61296e+11,2.55608,7.44895e+29,0.03468,9.79389e-05,4.09038e-13,5.33965e-66,9.85162e+15,1.75352e+16,1.71268e+11,2.7387e+16,1.96072e+13,3.43497e+09
303431,250144,5.10499e+06,2.92728e+22,2.86696e+18,1.93948e+11,2.5561,7.44868e+29,0.03468,9.79368e-05,4.09006e-13,5.33872e-66,9.8515e+15,1.7535e+16,1.71265e+11,2.73867e+16,2.83444e+13,3.43494e+09
354091,250142,5.10497e+06,4.65183e+22,4.55592e+18,2.26339e+11,2.55612,7.44836e+29,0.03468,9.79343e-05,4.08968e-13,5.33763e-66,9.85136e+15,1.75348e+16,1.71263e+11,2.73863e+16,3.85976e+13,3.43491e+09
405057,250140,5.10494e+06,6.96351e+22,6.81981e+18,2.58927e+11,2.55615,7.448e+29,0.03468,9.79314e-05,4.08924e-13,5.33637e-66,9.8512e+15,1.75345e+16,1.71259e+11,2.73859e+16,5.05066e+13,3.43487e+09
