X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0, 0,0
1,75150,1.21899e+07,314788,302.396,3934.64,0.0523572,1.03037e+33,0.03468,0.000956544,4.09044e-06,2.06604e-50,1.3276e+15,1.25791e+16,5.56788e+12,1.39123e+16, 907.187,1.03335e+09
50031.6,75150,1.21899e+07,3.94231e+19,3.78712e+16,1.96856e+08,0.0523572,1.03037e+33,0.03468,0.000956544,4.09043e-06,2.06604e-50,1.3276e+15,1.25791e+16,5.56788e+12,1.39123e+16, 2.27084e+12,1.03335e+09
100477,75150,1.21899e+07,3.19314e+20,3.06744e+17,3.95341e+08,0.0523572,1.03037e+33,0.03468,0.000956543,4.09043e-06,2.06603e-50,1.3276e+15,1.25791e+16,5.56788e+12,1.39123e+16, 9.15862e+12,1.03335e+09
151159,75149.9,1.21899e+07,1.08723e+21,1.04443e+18,5.94756e+08,0.0523572,1.03037e+33,0.03468,0.000956542,4.09042e-06,2.06602e-50,1.3276e+15,1.25791e+16,5.56788e+12,1.39122e+16, 2.07283e+13,1.03335e+09
201785,75149.8,1.21899e+07,2.58633e+21,2.48452e+18,7.93951e+08,0.0523571,1.03037e+33,0.03468,0.000956541,4.0904e-06,2.066e-50,1.32759e+15,1.25791e+16,5.56788e+12,1.39122e+16, 3.6938e+13,1.03335e+09
252479,75149.7,1.21899e+07,5.06631e+21,4.86686e+18,9.93412e+08,0.0523571,1.03037e+33,0.03468,0.000956539,4.09039e-06,2.06599e-50,1.32759e+15,1.25791e+16,5.56787e+12,1.39122e+16, 5.78287e+13,1.03335e+09
303569,75149.6,1.21899e+07,8.80616e+21,8.45946e+18,1.19443e+09,0.0523571,1.03036e+33,0.03468,0.000956537,4.09036e-06,2.06596e-50,1.32759e+15,1.2579e+16,5.56787e+12,1.39122e+16, 8.35998e+13,1.03335e+09
354250,75149.5,1.21899e+07,1.39942e+22,1.34432e+19,1.39384e+09,0.0523571,1.03036e+33,0.03468,0.000956534,4.09034e-06,2.06593e-50,1.32758e+15,1.2579e+16,5.56786e+12,1.39122e+16, 1.13844e+14,1.03335e+09
405240,75149.3,1.21899e+07,2.09484e+22,2.01236e+19,1.59447e+09,0.0523571,1.03036e+33,0.03468,0.000956531,4.09031e-06,2.0659e-50,1.32758e+15,1.2579e+16,5.56786e+12,1.39121e+16, 1.48974e+14,1.03334e+09
456693,75149.2,1.21899e+07,2.99839e+22,2.88033e+19,1.79692e+09,0.052357,1.03035e+33,0.03468,0.000956528,4.09027e-06,2.06586e-50,1.32757e+15,1.25789e+16,5.56785e+12,1.39121e+16, 1.89206e+14,1.03334e+09
507047,75149,1.21899e+07,4.10354e+22,3.94195e+19,1.99504e+09,0.052357,1.03035e+33,0.03468,0.000956524,4.09023e-06,2.06582e-50,1.32757e+15,1.25789e+16,5.56784e+12,1.3912e+16, 2.33227e+14,1.03334e+09
557373,75148.8,1.21899e+07,5.45068e+22,5.23603e+19,2.19305e+09,0.052357,1.03034e+33,0.03468,0.00095652,4.09019e-06,2.06577e-50,1.32756e+15,1.25789e+16,5.56783e+12,1.3912e+16, 2.81819e+14,1.03333e+09
609650,75148.5,1.21899e+07,7.13269e+22,6.85178e+19,2.39873e+09,0.0523569,1.03034e+33,0.03468,0.000956515,4.09014e-06,2.06572e-50,1.32755e+15,1.25788e+16,5.56783e+12,1.39119e+16, 3.3716e+14,1.03333e+09
660220,75148.3,1.21899e+07,9.05895e+22,8.70215e+19,2.5977e+09,0.0523569,1.03033e+33,0.03468,0.00095651,4.09009e-06,2.06566e-50,1.32755e+15,1.25788e+16,5.56782e+12,1.39119e+16, 3.95411e+14,1.03333e+09
711433,75148,1.21899e+07,1.13348e+23,1.08883e+20,2.79921e+09,0.0523568,1.03033e+33,0.03468,0.000956505,4.09003e-06,2.0656e-50,1.32754e+15,1.25787e+16,5.5678e+12,1.39118e+16, 4.5913e+14,1.03332e+09
762811,75147.7,1.21898e+07,1.39721e+23,1.34216e+20,3.00135e+09,0.0523568,1.03032e+33,0.03468,0.000956499,4.08997e-06,2.06554e-50,1.32753e+15,1.25787e+16,5.56779e+12,1.39118e+16, 5.27833e+14,1.03332e+09
813835,75147.4,1.21898e+07,1.69675e+23,1.6299e+20,3.2021e+09,0.0523567,1.03031e+33,0.03468,0.000956492,4.08991e-06,2.06547e-50,1.32752e+15,1.25786e+16,5.56778e+12,1.39117e+16, 6.00802e+14,1.03331e+09
863959,75147,1.21898e+07,2.02995e+23,1.94997e+20,3.39931e+09,0.0523567,1.0303e+33,0.03468,0.000956486,4.08984e-06,2.0654e-50,1.32751e+15,1.25785e+16,5.56777e+12,1.39116e+16, 6.77079e+14,1.03331e+09
917169,75146.7,1.21898e+07,2.42859e+23,2.33289e+20,3.60867e+09,0.0523566,1.03029e+33,0.03468,0.000956479,4.08977e-06,2.06531e-50,1.3275e+15,1.25785e+16,5.56775e+12,1.39115e+16, 7.63039e+14,1.0333e+09
968820,75146.3,1.21898e+07,2.86243e+23,2.74962e+20,3.81188e+09,0.0523566,1.03029e+33,0.03468,0.000956471,4.08969e-06,2.06523e-50,1.32749e+15,1.25784e+16,5.56774e+12,1.39114e+16, 8.5139e+14,1.0333e+09
