X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0,0,0
100,500000,4.32514e+06,2.0944e+06,211.254,3.70745e+06,7.41489,2.36873e+29,0.03468,0.000100866,3.01863e-14,1.44951e-68,3.12465e+16,2.96955e+16,8.8245e+10,6.09421e+16,6.33761e+06,6.86586e+09
1.00075e+06,499790,4.32415e+06,2.09856e+24,2.11504e+20,3.70996e+12,7.41868,2.36334e+29,0.03468,0.000100731,3.00361e-14,1.43373e-68,3.12247e+16,2.96762e+16,8.8164e+10,6.0901e+16,6.33592e+14,6.86294e+09
2.01025e+06,499154,4.32113e+06,1.69968e+25,1.70886e+21,7.45343e+12,7.43017,2.34706e+29,0.03468,0.000100323,2.95846e-14,1.38688e-68,3.11584e+16,2.96178e+16,8.79185e+10,6.07763e+16,2.54299e+15,6.85406e+09
3.01041e+06,498104,4.31616e+06,5.70095e+25,5.70874e+21,1.11636e+13,7.44919,2.32042e+29,0.03468,9.96519e-05,2.88535e-14,1.31282e-68,3.10493e+16,2.95215e+16,8.75144e+10,6.05709e+16,5.65285e+15,6.83943e+09
4.0209e+06,496623,4.30913e+06,1.35601e+26,1.35018e+22,1.49142e+13,7.47619,2.28323e+29,0.03468,9.871e-05,2.78498e-14,1.21473e-68,3.08955e+16,2.93857e+16,8.69459e+10,6.02814e+16,9.95967e+15,6.81877e+09
5.03469e+06,494715,4.30007e+06,2.65589e+26,2.62516e+22,1.86797e+13,7.51122,2.23607e+29,0.03468,9.75061e-05,2.66044e-14,1.09876e-68,3.0698e+16,2.92113e+16,8.62167e+10,5.99093e+16,1.53654e+16,6.79217e+09
6.05888e+06,492363,4.28888e+06,4.61561e+26,4.52115e+22,2.24874e+13,7.55481,2.17904e+29,0.03468,9.60364e-05,2.51399e-14,9.70439e-69,3.04552e+16,2.89968e+16,8.53226e+10,5.94521e+16,2.1813e+16,6.75939e+09
7.07787e+06,489607,4.27573e+06,7.33332e+26,7.10735e+22,2.628e+13,7.60649,2.11371e+29,0.03468,9.43331e-05,2.35174e-14,8.3834e-69,3.01716e+16,2.87461e+16,8.42812e+10,5.89177e+16,2.90755e+16,6.72096e+09
8.10656e+06,486410,4.26044e+06,1.09749e+27,1.05062e+23,3.01137e+13,7.66723,2.03994e+29,0.03468,9.23835e-05,2.1756e-14,7.06746e-69,2.98439e+16,2.84562e+16,8.30819e+10,5.83002e+16,3.71091e+16,6.67638e+09
9.14875e+06,482755,4.2429e+06,1.57043e+27,1.48223e+23,3.40035e+13,7.73777,1.95819e+29,0.03468,9.01887e-05,1.98907e-14,5.80604e-69,2.9471e+16,2.81261e+16,8.17222e+10,5.75972e+16,4.57943e+16,6.62541e+09
1.01732e+07,478762,4.22367e+06,2.1486e+27,1.99673e+23,3.78338e+13,7.81617,1.87198e+29,0.03468,8.78326e-05,1.80216e-14,4.67612e-69,2.90659e+16,2.77671e+16,8.0251e+10,5.68331e+16,5.46894e+16,6.56975e+09
1.12022e+07,474363,4.20241e+06,2.853e+27,2.60628e+23,4.16881e+13,7.90422,1.78062e+29,0.03468,8.52865e-05,1.61499e-14,3.67648e-69,2.86222e+16,2.73735e+16,7.86473e+10,5.59957e+16,6.37983e+16,6.50842e+09
1.22147e+07,469665,4.17961e+06,3.67669e+27,3.29762e+23,4.54882e+13,8.00023,1.68712e+29,0.03468,8.26243e-05,1.43493e-14,2.83683e-69,2.81514e+16,2.69553e+16,7.69544e+10,5.51068e+16,7.27559e+16,6.44293e+09
1.32553e+07,464468,4.15426e+06,4.66772e+27,4.10194e+23,4.94029e+13,8.10896,1.58838e+29,0.03468,7.97458e-05,1.25727e-14,2.12291e-69,2.7634e+16,2.64954e+16,7.51046e+10,5.41295e+16,8.17806e+16,6.37046e+09
