X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0, 0,0
1,75150,1.49968e+07,314788,769.376,2606.2,0.0253499,6.65265e+33,0.03468,0.00219132,0.000252796,1.88425e-46,1.3276e+15,1.54757e+16,1.27553e+13,1.6816e+16, 2308.13,1.03335e+09
50031.6,75150,1.49968e+07,3.94231e+19,9.63544e+16,1.30392e+08,0.0253499,6.65265e+33,0.03468,0.00219132,0.000252796,1.88425e-46,1.3276e+15,1.54757e+16,1.27553e+13,1.6816e+16, 5.77761e+12,1.03335e+09
100477,75150,1.49968e+07,3.19314e+20,7.80438e+17,2.61863e+08,0.0253499,6.65264e+33,0.03468,0.00219131,0.000252795,1.88424e-46,1.3276e+15,1.54757e+16,1.27553e+13,1.6816e+16, 2.3302e+13,1.03335e+09
151159,75149.9,1.49968e+07,1.08723e+21,2.6573e+18,3.93951e+08,0.0253499,6.65264e+33,0.03468,0.00219131,0.000252795,1.88424e-46,1.3276e+15,1.54757e+16,1.27553e+13,1.6816e+16, 5.27384e+13,1.03335e+09
201785,75149.9,1.49968e+07,2.58633e+21,6.32127e+18,5.25892e+08,0.0253499,6.65263e+33,0.03468,0.00219131,0.000252794,1.88423e-46,1.32759e+15,1.54756e+16,1.27553e+13,1.6816e+16, 9.39801e+13,1.03335e+09
252479,75149.8,1.49968e+07,5.06631e+21,1.23826e+19,6.5801e+08,0.0253499,6.65262e+33,0.03468,0.00219131,0.000252793,1.88421e-46,1.32759e+15,1.54756e+16,1.27553e+13,1.6816e+16, 1.47132e+14,1.03335e+09
303568,75149.7,1.49968e+07,8.80616e+21,2.15231e+19,7.9116e+08,0.0253499,6.6526e+33,0.03468,0.0021913,0.000252792,1.8842e-46,1.32759e+15,1.54756e+16,1.27553e+13,1.68159e+16, 2.127e+14,1.03335e+09
354250,75149.6,1.49968e+07,1.39942e+22,3.42031e+19,9.23246e+08,0.0253499,6.65259e+33,0.03468,0.0021913,0.000252791,1.88418e-46,1.32759e+15,1.54756e+16,1.27553e+13,1.68159e+16, 2.8965e+14,1.03335e+09
405240,75149.5,1.49968e+07,2.09484e+22,5.11999e+19,1.05613e+09,0.0253498,6.65257e+33,0.03468,0.00219129,0.000252789,1.88415e-46,1.32758e+15,1.54755e+16,1.27552e+13,1.68159e+16, 3.79031e+14,1.03334e+09
456693,75149.3,1.49968e+07,2.99839e+22,7.32834e+19,1.19023e+09,0.0253498,6.65255e+33,0.03468,0.00219129,0.000252788,1.88413e-46,1.32758e+15,1.54755e+16,1.27552e+13,1.68158e+16, 4.81391e+14,1.03334e+09
507047,75149.1,1.49968e+07,4.10354e+22,1.00294e+20,1.32146e+09,0.0253498,6.65253e+33,0.03468,0.00219128,0.000252786,1.8841e-46,1.32757e+15,1.54755e+16,1.27552e+13,1.68158e+16, 5.93393e+14,1.03334e+09
557372,75149,1.49968e+07,5.45068e+22,1.33219e+20,1.45262e+09,0.0253498,6.6525e+33,0.03468,0.00219127,0.000252784,1.88406e-46,1.32757e+15,1.54754e+16,1.27552e+13,1.68158e+16, 7.17026e+14,1.03333e+09
609649,75148.8,1.49968e+07,7.13269e+22,1.74328e+20,1.58886e+09,0.0253498,6.65248e+33,0.03468,0.00219126,0.000252782,1.88403e-46,1.32756e+15,1.54754e+16,1.27552e+13,1.68157e+16, 8.57829e+14,1.03333e+09
660220,75148.6,1.49968e+07,9.05895e+22,2.21407e+20,1.72065e+09,0.0253498,6.65245e+33,0.03468,0.00219125,0.000252779,1.88399e-46,1.32756e+15,1.54753e+16,1.27552e+13,1.68156e+16, 1.00604e+15,1.03333e+09
711433,75148.3,1.49968e+07,1.13348e+23,2.77029e+20,1.85412e+09,0.0253497,6.65241e+33,0.03468,0.00219124,0.000252777,1.88395e-46,1.32755e+15,1.54753e+16,1.27552e+13,1.68156e+16, 1.16816e+15,1.03332e+09
762810,75148.1,1.49968e+07,1.39721e+23,3.41484e+20,1.98802e+09,0.0253497,6.65238e+33,0.03468,0.00219123,0.000252774,1.8839e-46,1.32754e+15,1.54752e+16,1.27551e+13,1.68155e+16, 1.34296e+15,1.03332e+09
813834,75147.8,1.49968e+07,1.69675e+23,4.14692e+20,2.121e+09,0.0253497,6.65234e+33,0.03468,0.00219122,0.000252771,1.88385e-46,1.32753e+15,1.54752e+16,1.27551e+13,1.68155e+16, 1.52861e+15,1.03331e+09
863958,75147.5,1.49968e+07,2.02995e+23,4.96127e+20,2.25162e+09,0.0253497,6.6523e+33,0.03468,0.00219121,0.000252768,1.8838e-46,1.32753e+15,1.54751e+16,1.27551e+13,1.68154e+16, 1.72269e+15,1.03331e+09
917168,75147.2,1.49968e+07,2.42859e+23,5.93553e+20,2.3903e+09,0.0253496,6.65226e+33,0.03468,0.0021912,0.000252764,1.88375e-46,1.32752e+15,1.5475e+16,1.27551e+13,1.68153e+16, 1.9414e+15,1.0333e+09
968819,75146.9,1.49968e+07,2.86243e+23,6.9958e+20,2.5249e+09,0.0253496,6.65222e+33,0.03468,0.00219118,0.000252761,1.88369e-46,1.32751e+15,1.5475e+16,1.2755e+13,1.68152e+16, 2.16619e+15,1.0333e+09
1.02338e+06,75146.5,1.49968e+07,3.37376e+23,8.24546e+20,2.66709e+09,0.0253496,6.65217e+33,0.03468,0.00219117,0.000252756,1.88362e-46,1.3275e+15,1.54749e+16,1.2755e+13,1.68151e+16, 2.41701e+15,1.03329e+09
1.07564e+06,75146.2,1.49968e+07,3.91746e+23,9.57421e+20,2.80329e+09,0.0253495,6.65212e+33,0.03468,0.00219115,0.000252752,1.88356e-46,1.32749e+15,1.54748e+16,1.2755e+13,1.6815e+16, 2.67014e+15,1.03329e+09
1.13057e+06,75145.8,1.49967e+07,4.54878e+23,1.11171e+21,2.94644e+09,0.0253495,6.65206e+33,0.03468,0.00219113,0.000252748,1.88349e-46,1.32747e+15,1.54747e+16,1.27549e+13,1.68149e+16, 2.94978e+15,1.03328e+09
1.1824e+06,75145.4,1.49967e+07,5.20351e+23,1.27172e+21,3.08151e+09,0.0253494,6.65201e+33,0.03468,0.00219112,0.000252743,1.88341e-46,1.32746e+15,1.54746e+16,1.27549e+13,1.68148e+16, 3.2264e+15,1.03327e+09
1.23661e+06,75144.9,1.49967e+07,5.95247e+23,1.45475e+21,3.22278e+09,0.0253494,6.65194e+33,0.03468,0.0021911,0.000252738,1.88334e-46,1.32745e+15,1.54745e+16,1.27549e+13,1.68147e+16, 3.52896e+15,1.03326e+09
1.28688e+06,75144.5,1.49967e+07,6.70826e+23,1.63945e+21,3.35378e+09,0.0253494,6.65189e+33,0.03468,0.00219108,0.000252734,1.88326e-46,1.32744e+15,1.54744e+16,1.27548e+13,1.68146e+16, 3.82163e+15,1.03326e+09
1.33919e+06,75144,1.49967e+07,7.56e+23,1.8476e+21,3.4901e+09,0.0253493,6.65182e+33,0.03468,0.00219106,0.000252729,1.88318e-46,1.32742e+15,1.54743e+16,1.27548e+13,1.68145e+16, 4.13858e+15,1.03325e+09
1.39363e+06,75143.6,1.49967e+07,8.5199e+23,2.08218e+21,3.63197e+09,0.0253493,6.65176e+33,0.03468,0.00219104,0.000252723,1.88309e-46,1.32741e+15,1.54742e+16,1.27548e+13,1.68144e+16, 4.48181e+15,1.03324e+09
1.45028e+06,75143,1.49967e+07,9.60166e+23,2.34654e+21,3.7796e+09,0.0253492,6.65168e+33,0.03468,0.00219102,0.000252717,1.88299e-46,1.32739e+15,1.54741e+16,1.27547e+13,1.68142e+16, 4.85349e+15,1.03323e+09
1.50173e+06,75142.5,1.49967e+07,1.06603e+24,2.60524e+21,3.91369e+09,0.0253492,6.65161e+33,0.03468,0.00219099,0.000252711,1.8829e-46,1.32738e+15,1.54739e+16,1.27547e+13,1.68141e+16, 5.20391e+15,1.03321e+09
1.57556e+06,75141.8,1.49967e+07,1.23111e+24,3.00864e+21,4.10609e+09,0.0253491,6.65151e+33,0.03468,0.00219096,0.000252703,1.88276e-46,1.32736e+15,1.54738e+16,1.27546e+13,1.68139e+16, 5.72803e+15,1.03318e+09
1.64826e+06,75141,1.49966e+07,1.4095e+24,3.44455e+21,4.29553e+09,0.025349,6.6514e+33,0.03468,0.00219093,0.000252694,1.88262e-46,1.32733e+15,1.54736e+16,1.27546e+13,1.68137e+16, 6.26863e+15,1.03313e+09
1.76684e+06,75139.6,1.49966e+07,1.7361e+24,4.24265e+21,4.60454e+09,0.0253489,6.65121e+33,0.03468,0.00219087,0.000252679,1.88238e-46,1.32729e+15,1.54733e+16,1.27545e+13,1.68133e+16, 7.20271e+15,1.03306e+09
1.9447e+06,75137.4,1.49966e+07,2.31489e+24,5.6569e+21,5.06799e+09,0.0253487,6.65091e+33,0.03468,0.00219078,0.000252654,1.88199e-46,1.32723e+15,1.54728e+16,1.27543e+13,1.68128e+16, 8.7251e+15,1.03295e+09
2.19544e+06,75134,1.49965e+07,3.33064e+24,8.13871e+21,5.72136e+09,0.0253483,6.65043e+33,0.03468,0.00219063,0.000252615,1.88137e-46,1.32713e+15,1.5472e+16,1.2754e+13,1.68119e+16, 1.11188e+16,1.03278e+09
2.53358e+06,75128.7,1.49963e+07,5.11856e+24,1.25068e+22,6.6024e+09,0.0253478,6.6497e+33,0.03468,0.0021904,0.000252556,1.88041e-46,1.32697e+15,1.54708e+16,1.27536e+13,1.68105e+16, 1.48047e+16,1.03258e+09
2.9756e+06,75120.6,1.49962e+07,8.29158e+24,2.02576e+22,7.75399e+09,0.025347,6.64858e+33,0.03468,0.00219005,0.000252465,1.87896e-46,1.32673e+15,1.54689e+16,1.27529e+13,1.68084e+16, 2.04152e+16,1.03236e+09
3.4756e+06,75109.9,1.49959e+07,1.32119e+25,3.22742e+22,9.05649e+09,0.025346,6.6471e+33,0.03468,0.00218959,0.000252344,1.87703e-46,1.32642e+15,1.54664e+16,1.27521e+13,1.68056e+16, 2.7842e+16,1.0321e+09
3.9756e+06,75097.5,1.49956e+07,1.97716e+25,4.82903e+22,1.03588e+10,0.0253448,6.64539e+33,0.03468,0.00218906,0.000252205,1.87481e-46,1.32605e+15,1.54636e+16,1.27511e+13,1.68024e+16, 3.64129e+16,1.03182e+09
4.4756e+06,75083.4,1.49953e+07,2.82059e+25,6.88773e+22,1.16609e+10,0.0253434,6.64346e+33,0.03468,0.00218846,0.000252048,1.8723e-46,1.32564e+15,1.54604e+16,1.275e+13,1.67987e+16, 4.61249e+16,1.0315e+09
