X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0, 0,0
1,75150,1.27057e+07,314788,358.342,3403.34,0.0452873,1.49622e+33,0.03468,0.00112903,9.33189e-06,1.27979e-49,1.3276e+15,1.31114e+16,6.57189e+12,1.44456e+16, 1075.03,1.03335e+09
50031.6,75150,1.27057e+07,3.94231e+19,4.48777e+16,1.70274e+08,0.0452873,1.49622e+33,0.03468,0.00112903,9.33189e-06,1.27979e-49,1.3276e+15,1.31114e+16,6.57189e+12,1.44456e+16, 2.69096e+12,1.03335e+09
100477,75150,1.27057e+07,3.19314e+20,3.63494e+17,3.41957e+08,0.0452873,1.49622e+33,0.03468,0.00112903,9.33187e-06,1.27979e-49,1.3276e+15,1.31114e+16,6.57189e+12,1.44456e+16, 1.0853e+13,1.03335e+09
151159,75149.9,1.27057e+07,1.08723e+21,1.23765e+18,5.14445e+08,0.0452873,1.49621e+33,0.03468,0.00112903,9.33185e-06,1.27978e-49,1.3276e+15,1.31114e+16,6.57188e+12,1.44456e+16, 2.45632e+13,1.03335e+09
201785,75149.8,1.27057e+07,2.58633e+21,2.94417e+18,6.86742e+08,0.0452872,1.49621e+33,0.03468,0.00112902,9.33182e-06,1.27977e-49,1.32759e+15,1.31114e+16,6.57188e+12,1.44455e+16, 4.37718e+13,1.03335e+09
252479,75149.8,1.27057e+07,5.06631e+21,5.76727e+18,8.5927e+08,0.0452872,1.49621e+33,0.03468,0.00112902,9.33179e-06,1.27976e-49,1.32759e+15,1.31114e+16,6.57188e+12,1.44455e+16, 6.85275e+13,1.03335e+09
303569,75149.6,1.27057e+07,8.80616e+21,1.00245e+19,1.03314e+09,0.0452872,1.49621e+33,0.03468,0.00112902,9.33174e-06,1.27975e-49,1.32759e+15,1.31113e+16,6.57187e+12,1.44455e+16, 9.90665e+13,1.03335e+09
354250,75149.5,1.27057e+07,1.39942e+22,1.59303e+19,1.20563e+09,0.0452872,1.4962e+33,0.03468,0.00112902,9.33169e-06,1.27973e-49,1.32758e+15,1.31113e+16,6.57187e+12,1.44455e+16, 1.34906e+14,1.03335e+09
405240,75149.4,1.27057e+07,2.09484e+22,2.38467e+19,1.37916e+09,0.0452872,1.4962e+33,0.03468,0.00112901,9.33162e-06,1.27971e-49,1.32758e+15,1.31113e+16,6.57186e+12,1.44454e+16, 1.76536e+14,1.03334e+09
456693,75149.2,1.27057e+07,2.99839e+22,3.41322e+19,1.55427e+09,0.0452871,1.49619e+33,0.03468,0.00112901,9.33155e-06,1.27969e-49,1.32757e+15,1.31113e+16,6.57185e+12,1.44454e+16, 2.24211e+14,1.03334e+09
507047,75149,1.27057e+07,4.10354e+22,4.67125e+19,1.72564e+09,0.0452871,1.49619e+33,0.03468,0.00112901,9.33147e-06,1.27967e-49,1.32757e+15,1.31112e+16,6.57185e+12,1.44454e+16, 2.76376e+14,1.03334e+09
557373,75148.8,1.27057e+07,5.45068e+22,6.20474e+19,1.89691e+09,0.0452871,1.49618e+33,0.03468,0.001129,9.33139e-06,1.27964e-49,1.32756e+15,1.31112e+16,6.57184e+12,1.44453e+16, 3.33959e+14,1.03333e+09
609649,75148.6,1.27057e+07,7.13269e+22,8.11943e+19,2.07483e+09,0.045287,1.49617e+33,0.03468,0.001129,9.33129e-06,1.27961e-49,1.32756e+15,1.31111e+16,6.57183e+12,1.44453e+16, 3.99538e+14,1.03333e+09
660220,75148.3,1.27057e+07,9.05895e+22,1.03121e+20,2.24693e+09,0.045287,1.49616e+33,0.03468,0.00112899,9.33118e-06,1.27958e-49,1.32755e+15,1.31111e+16,6.57182e+12,1.44452e+16, 4.68567e+14,1.03333e+09
711433,75148.1,1.27057e+07,1.13348e+23,1.29028e+20,2.42122e+09,0.0452869,1.49616e+33,0.03468,0.00112899,9.33107e-06,1.27955e-49,1.32754e+15,1.3111e+16,6.57181e+12,1.44451e+16, 5.44075e+14,1.03332e+09
762811,75147.8,1.27057e+07,1.39721e+23,1.59048e+20,2.59607e+09,0.0452869,1.49615e+33,0.03468,0.00112898,9.33095e-06,1.27951e-49,1.32753e+15,1.3111e+16,6.57179e+12,1.44451e+16, 6.25489e+14,1.03332e+09
813835,75147.5,1.27057e+07,1.69675e+23,1.93145e+20,2.76972e+09,0.0452868,1.49614e+33,0.03468,0.00112897,9.33082e-06,1.27947e-49,1.32752e+15,1.31109e+16,6.57178e+12,1.4445e+16, 7.11958e+14,1.03331e+09
863958,75147.1,1.27057e+07,2.02995e+23,2.31074e+20,2.9403e+09,0.0452868,1.49613e+33,0.03468,0.00112896,9.33068e-06,1.27943e-49,1.32751e+15,1.31109e+16,6.57177e+12,1.44449e+16, 8.02349e+14,1.03331e+09
917169,75146.8,1.27057e+07,2.42859e+23,2.76451e+20,3.12138e+09,0.0452867,1.49611e+33,0.03468,0.00112896,9.33053e-06,1.27939e-49,1.3275e+15,1.31108e+16,6.57175e+12,1.44449e+16, 9.04213e+14,1.0333e+09
968820,75146.4,1.27057e+07,2.86243e+23,3.25833e+20,3.29715e+09,0.0452867,1.4961e+33,0.03468,0.00112895,9.33037e-06,1.27934e-49,1.32749e+15,1.31107e+16,6.57174e+12,1.44448e+16, 1.00891e+15,1.0333e+09
1.02338e+06,75146,1.27057e+07,3.37376e+23,3.84037e+20,3.48283e+09,0.0452866,1.49609e+33,0.03468,0.00112894,9.33019e-06,1.27929e-49,1.32748e+15,1.31106e+16,6.57172e+12,1.44447e+16, 1.12573e+15,1.03329e+09
1.07564e+06,75145.6,1.27057e+07,3.91746e+23,4.45924e+20,3.66068e+09,0.0452865,1.49608e+33,0.03468,0.00112893,9.33002e-06,1.27924e-49,1.32747e+15,1.31105e+16,6.5717e+12,1.44446e+16, 1.24362e+15,1.03329e+09
1.13057e+06,75145.1,1.27056e+07,4.54878e+23,5.17784e+20,3.84761e+09,0.0452865,1.49606e+33,0.03468,0.00112892,9.32982e-06,1.27918e-49,1.32745e+15,1.31105e+16,6.57168e+12,1.44445e+16, 1.37386e+15,1.03328e+09
1.1824e+06,75144.6,1.27056e+07,5.2035e+23,5.92308e+20,4.024e+09,0.0452864,1.49605e+33,0.03468,0.00112891,9.32963e-06,1.27912e-49,1.32744e+15,1.31104e+16,6.57166e+12,1.44444e+16, 1.5027e+15,1.03327e+09
1.23661e+06,75144.1,1.27056e+07,5.95247e+23,6.77558e+20,4.20847e+09,0.0452863,1.49603e+33,0.03468,0.0011289,9.32941e-06,1.27906e-49,1.32743e+15,1.31103e+16,6.57164e+12,1.44443e+16, 1.64362e+15,1.03326e+09
1.28688e+06,75143.7,1.27056e+07,6.70825e+23,7.63583e+20,4.37953e+09,0.0452862,1.49602e+33,0.03468,0.00112889,9.32921e-06,1.279e-49,1.32741e+15,1.31102e+16,6.57162e+12,1.44442e+16, 1.77993e+15,1.03326e+09
1.33919e+06,75143.1,1.27056e+07,7.56e+23,8.6053e+20,4.55754e+09,0.0452861,1.496e+33,0.03468,0.00112888,9.32899e-06,1.27893e-49,1.3274e+15,1.31101e+16,6.5716e+12,1.4444e+16, 1.92755e+15,1.03325e+09
1.39363e+06,75142.6,1.27056e+07,8.51989e+23,9.69784e+20,4.74279e+09,0.045286,1.49598e+33,0.03468,0.00112886,9.32874e-06,1.27886e-49,1.32738e+15,1.311e+16,6.57157e+12,1.44439e+16, 2.0874e+15,1.03324e+09
1.46236e+06,75141.8,1.27056e+07,9.84357e+23,1.12044e+21,4.97668e+09,0.0452859,1.49596e+33,0.03468,0.00112885,9.32843e-06,1.27877e-49,1.32736e+15,1.31098e+16,6.57154e+12,1.44437e+16, 2.29831e+15,1.03323e+09
1.52999e+06,75141,1.27056e+07,1.12734e+24,1.28318e+21,5.20681e+09,0.0452858,1.49593e+33,0.03468,0.00112883,9.3281e-06,1.27867e-49,1.32733e+15,1.31097e+16,6.57151e+12,1.44436e+16, 2.51575e+15,1.03321e+09
1.64026e+06,75139.7,1.27055e+07,1.38906e+24,1.58106e+21,5.58204e+09,0.0452855,1.49589e+33,0.03468,0.0011288,9.32753e-06,1.27851e-49,1.32729e+15,1.31094e+16,6.57145e+12,1.44433e+16, 2.89132e+15,1.03318e+09
1.80559e+06,75137.5,1.27055e+07,1.85283e+24,2.10887e+21,6.14461e+09,0.0452852,1.49582e+33,0.03468,0.00112875,9.32661e-06,1.27824e-49,1.32723e+15,1.3109e+16,6.57136e+12,1.44428e+16, 3.50331e+15,1.03313e+09
2.03863e+06,75134.1,1.27054e+07,2.66671e+24,3.0351e+21,6.93751e+09,0.0452846,1.49571e+33,0.03468,0.00112867,9.32516e-06,1.27781e-49,1.32713e+15,1.31083e+16,6.57122e+12,1.4442e+16, 4.46544e+15,1.03306e+09
2.35283e+06,75128.8,1.27053e+07,4.09936e+24,4.66537e+21,8.00652e+09,0.0452837,1.49555e+33,0.03468,0.00112856,9.32293e-06,1.27715e-49,1.32697e+15,1.31073e+16,6.57099e+12,1.44408e+16, 5.94694e+15,1.03295e+09
2.76351e+06,75120.7,1.27051e+07,6.64198e+24,7.55833e+21,9.40359e+09,0.0452824,1.49529e+33,0.03468,0.00112838,9.31953e-06,1.27615e-49,1.32674e+15,1.31057e+16,6.57065e+12,1.4439e+16, 8.20194e+15,1.03278e+09
3.26351e+06,75109.1,1.27049e+07,1.09378e+25,1.24451e+22,1.11043e+10,0.0452804,1.49493e+33,0.03468,0.00112812,9.31466e-06,1.27472e-49,1.3264e+15,1.31034e+16,6.57017e+12,1.44364e+16, 1.1434e+16,1.03258e+09
3.76351e+06,75095.7,1.27046e+07,1.67729e+25,1.90812e+22,1.28046e+10,0.0452782,1.4945e+33,0.03468,0.00112782,9.30899e-06,1.27305e-49,1.326e+15,1.31008e+16,6.5696e+12,1.44334e+16, 1.51992e+16,1.03236e+09
